target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3304	33	2.26928
NM_001178149.1	3825	3646	50	3.11578
NM_001178150.1	621	442	254	130.565
NM_001178151.1	1929	1750	3249.57	421.892
NM_001178152.1	648	469	31	15.0177
NM_001178153.1	597	418	9	4.89193
NM_001178154.1	780	601	8	3.02433
NM_001178155.2	1482	1303	10	1.74369
NM_001178156.1	1878	1699	13	1.73846
NM_001178157.1	1185	1006	122	27.5534
NM_001178158.2	1218	1039	11	2.40542
NM_001178159.1	768	589	21	8.10061
NM_001178160.1	1200	1021	12	2.67036
NM_001178161.1	1908	1729	69	9.06709
NM_001178162.2	4071	3892	122	7.12198
NM_001178163.1	978	799	0	0
NM_001178164.1	3396	3217	44	3.10753
NM_001178165.2	1002	823	11	3.03673
NM_001178166.1	2514	2335	39	3.79482
NM_001178167.1	1554	1375	24	3.96572
NM_001178168.1	2280	2101	143	15.4641
NM_001178169.1	4308	4129	35	1.92591
NM_001178170.2	921	742	6	1.83722
NM_001178171.2	4068	3889	75.2891	4.39853
NM_001178172.1	786	607	2	0.748609
NM_001178173.1	1587	1408	7	1.12956
NM_001178174.1	4416	4237	66	3.53915
NM_001178175.1	354	175	11	14.2813
NM_001178176.1	2283	2104	24	2.59167
NM_001178177.1	1140	961	9	2.12781
NM_001178178.1	522	343	1	0.662399
NM_001178179.1	870	691	0	0
NM_001178180.1	3009	2830	166	13.3271
NM_001178181.1	1110	931	12	2.9285
NM_001178182.1	804	625	4	1.4541
NM_001178183.1	1503	1324	1578	270.79
NM_001178184.1	810	631	7	2.52048
NM_001178185.1	1743	1564	26	3.77703
NM_001178186.1	2565	2386	32	3.04715
NM_001178187.1	1248	1069	54	11.477
NM_001178188.1	2358	2179	29	3.02381
NM_001178189.1	513	334	33	22.4482
NM_001178191.1	357	178	4	5.10568
NM_001178192.2	1869	1690	11	1.47884
NM_001178193.1	1989	1810	6	0.753159
NM_001178194.1	741	562	10	4.04276
NM_001178195.2	3144	2965	39	2.9885
NM_001178196.2	2352	2173	58	6.06432
NM_001178197.1	2142	1963	6	0.694456
NM_001178198.1	543	364	5	3.12092
NM_001178199.2	2643	2464	28	2.58185
